               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.047211,            0.033827,           0.0046306,             0.72187,             0.45976,             0.53713,             0.29369,            0.045875,            0.024734,           0.0045283,            0.001387,            0.001387,            0.001387
                  89,            0.047112,            0.033816,           0.0045573,             0.71874,             0.46372,             0.53689,             0.29328,            0.045875,            0.024727,           0.0045569,            0.001288,            0.001288,            0.001288
                  90,            0.046936,            0.033276,           0.0045048,             0.71761,             0.46185,              0.5367,             0.29372,            0.045873,            0.024715,           0.0045729,            0.001189,            0.001189,            0.001189
                  91,            0.047075,            0.033353,           0.0045957,               0.719,             0.45996,             0.53672,             0.29414,            0.045869,            0.024712,            0.004588,             0.00109,             0.00109,             0.00109
                  92,            0.046889,            0.033736,           0.0043961,             0.72222,             0.46007,             0.53841,             0.29447,            0.045872,            0.024709,           0.0045809,            0.000991,            0.000991,            0.000991
                  93,            0.046958,            0.034052,           0.0044177,             0.72142,             0.46279,             0.53791,             0.29459,            0.045872,            0.024722,           0.0045863,            0.000892,            0.000892,            0.000892
                  94,            0.046728,            0.033147,           0.0042893,             0.71926,             0.46343,             0.53773,             0.29408,            0.045875,            0.024735,           0.0045955,            0.000793,            0.000793,            0.000793
                  95,            0.046539,            0.032904,           0.0043994,             0.72122,             0.46343,             0.53808,             0.29498,            0.045873,            0.024739,           0.0045943,            0.000694,            0.000694,            0.000694
                  96,            0.046609,            0.033186,           0.0043578,             0.72733,             0.46088,             0.53832,             0.29518,            0.045863,            0.024741,           0.0045906,            0.000595,            0.000595,            0.000595
                  97,            0.046613,            0.033185,           0.0043549,             0.73239,             0.46033,             0.53888,             0.29561,            0.045855,            0.024744,           0.0045868,            0.000496,            0.000496,            0.000496
                  98,             0.04653,            0.033406,           0.0043234,             0.74245,             0.45749,             0.53933,             0.29597,            0.045849,            0.024744,            0.004578,            0.000397,            0.000397,            0.000397
                  99,            0.046325,            0.033341,           0.0042096,             0.74118,             0.45716,             0.53957,              0.2958,            0.045841,            0.024746,           0.0045699,            0.000298,            0.000298,            0.000298
